arena,controller,success_rate,mean_spl,mean_path_length_cm,mean_blocked_steps,mean_target_switches,mean_forced_replans,mean_fraction_graph_mode,n
lwall,baseline_neural,0.16666666666666666,0.1374814936613563,344.0,178.91666666666666,0.0,0.0,0.0,24
lwall,pc_loose_topograph_full_hybrid,0.9583333333333334,0.7783156056938303,253.25,0.0,4.75,0.5833333333333334,0.47020311393651854,24
lwall,pc_medium_topograph_full_hybrid,0.9583333333333334,0.8102168279424458,242.25,0.0,4.583333333333333,0.6666666666666666,0.4661289801733261,24
lwall,pc_strict_topograph_full_hybrid,0.875,0.7209581234097495,354.75,0.0,4.333333333333333,0.6666666666666666,0.502854825445983,24
lwall,placebasis_loose_topograph_full_hybrid,0.9583333333333334,0.777084859907117,241.25,0.0,4.708333333333333,0.75,0.48305405743559365,24
lwall,placebasis_medium_topograph_full_hybrid,0.9583333333333334,0.7846981269532876,239.0,0.0,4.541666666666667,0.5833333333333334,0.46972140977701987,24
lwall,placebasis_strict_topograph_full_hybrid,0.9166666666666666,0.7401827219016771,316.25,0.0,4.458333333333333,0.625,0.5073979497426202,24
lwall,position_topograph_arbitrated,0.9583333333333334,0.7977742364783139,248.25,0.0,4.5,0.7083333333333334,0.4837758742971834,24
lwall,position_topograph_full_hybrid,0.9166666666666666,0.7446810142369777,320.75,0.0,4.541666666666667,0.7083333333333334,0.4847717068267987,24
lwall,position_topograph_geometric,0.9583333333333334,0.7306052437095895,306.25,0.0,4.416666666666667,0.7083333333333334,0.5063933765509713,24
lwall,sc_loose_topograph_full_hybrid,0.9166666666666666,0.7118820132978231,345.5,0.0,4.291666666666667,0.6666666666666666,0.511463154955388,24
lwall,sc_medium_topograph_full_hybrid,0.9583333333333334,0.6923657582480631,360.25,0.0,4.708333333333333,0.6666666666666666,0.5154107900347588,24
lwall,sc_strict_topograph_full_hybrid,0.9583333333333334,0.8152119993767298,261.75,0.0,4.416666666666667,0.6666666666666666,0.47774328552329703,24
lwall,wall_aware_neural,0.9166666666666666,0.8584660443281834,260.0,0.0,0.0,0.0,0.0,24
lwall,waypoint_memory_hybrid,1.0,0.9424728179472023,124.0,0.0,1.0,0.0,0.35922452552776424,24
open,baseline_neural,0.4166666666666667,0.3243357869959404,602.0,70.375,0.0,0.0,0.0,24
open,pc_loose_topograph_full_hybrid,1.0,1.0,87.75,0.0,0.0,1.375,0.0,24
open,pc_medium_topograph_full_hybrid,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
open,pc_strict_topograph_full_hybrid,1.0,1.0,87.5,0.0,0.0,1.375,0.0,24
open,placebasis_loose_topograph_full_hybrid,1.0,1.0,87.0,0.0,0.0,1.375,0.0,24
open,placebasis_medium_topograph_full_hybrid,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
open,placebasis_strict_topograph_full_hybrid,1.0,1.0,87.5,0.0,0.0,1.375,0.0,24
open,position_topograph_arbitrated,1.0,1.0,87.0,0.0,0.0,1.375,0.0,24
open,position_topograph_full_hybrid,1.0,1.0,87.25,0.0,0.0,1.375,0.0,24
